ENSID,Gene,Chr,mBATcombo_SuSiEx_Start,mBATcombo_SuSiEx_End,SMR_Start,SMR_End,MDD_Start,MDD_End,mBAT_combo_EUR_N06A,mBAT_combo_EUR_N06AA,mBAT_combo_EUR_N06AB,SuSiEx,blood_trait_eSMR,blood_trait_mSMR,blood_trait_pSMR,brainmeta_trait_eSMR,brainmeta_trait_mSMR,brainmeta_trait_sSMR,MDD_GWAS_Nearest_gene,MDD_GWAS_Fine_mapping,MDD_GWAS_Expression,MDD_GWAS_Protein,MDD_GWAS_fastBAT,MDD_GWAS_HMAGMA,MDD_GWAS_PsyOPS
ENSG00000186470,BTN3A2,6,26365387,26378548,26365159,26378320,26365387,26378546,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000196345,ZKSCAN7,3,44596685,44635665,44555193,44594173,44596685,44624975,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000240771,ARHGEF25,12,58003963,58011028,57610180,57617245,58003963,58013162,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000186665,C17orf58,17,65987215,65992585,67991099,67996469,65987217,65989765,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000000971,CFH,1,NA,NA,NA,NA,196621008,196716634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000001617,SEMA3F,3,50192478,50226508,NA,NA,50192478,50226508,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000003756,RBM5,3,NA,NA,NA,NA,50126341,50156454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000004139,SARM1,17,NA,NA,NA,NA,26691378,26728065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000004534,RBM6,3,NA,NA,NA,NA,49977440,50137478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000004838,ZMYND10,3,NA,NA,NA,NA,50378541,50384283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000004864,SLC25A13,7,NA,NA,NA,NA,95749532,95951459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000004897,CDC27,17,NA,NA,NA,NA,45195069,45266788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000005108,THSD7A,7,NA,NA,NA,NA,11409984,11871824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ENSG00000005483,KMT2E,7,NA,NA,NA,NA,104654626,104754808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000006025,OSBPL7,17,NA,NA,NA,NA,45884738,45899200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000006071,ABCC8,11,NA,NA,NA,NA,17414432,17498449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000006116,CACNG3,16,NA,NA,NA,NA,24266874,24374122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000006377,DLX6,7,NA,NA,NA,NA,96634860,96640351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000006432,MAP3K9,14,NA,NA,NA,NA,71189243,71276251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000006468,ETV1,7,NA,NA,NA,NA,13930853,14031050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000006606,CCL26,7,NA,NA,NA,NA,75398851,75419214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000006704,GTF2IRD1,7,73868120,74016931,NA,NA,73868120,74016931,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000007047,MARK4,19,NA,NA,NA,NA,45582546,45808541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000007372,PAX6,11,NA,NA,NA,NA,31806340,31839509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000008196,TFAP2B,6,NA,NA,NA,NA,50786436,50815326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000008197,TFAP2D,6,NA,NA,NA,NA,50681541,50740701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000008300,CELSR3,3,48673896,48700319,NA,NA,48673902,48700348,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000008394,MGST1,12,NA,NA,NA,NA,16500076,16762193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000008441,NFIX,19,NA,NA,NA,NA,13106422,13209610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000009335,UBE3C,7,NA,NA,NA,NA,156931607,157062066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000010256,UQCRC1,3,NA,NA,NA,NA,48636435,48648409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000010318,PHF7,3,NA,NA,NA,NA,52444673,52457657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000010319,SEMA3G,3,NA,NA,NA,NA,52467069,52479101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000010322,NISCH,3,NA,NA,NA,NA,52489134,52527087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000010327,STAB1,3,NA,NA,NA,NA,52529354,52558511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000010704,HFE,6,NA,NA,NA,NA,26087509,26098571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000010818,HIVEP2,6,NA,NA,NA,NA,143072604,143266338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000011198,ABHD5,3,43731600,43775863,NA,NA,43731605,43775863,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000011347,SYT7,11,NA,NA,NA,NA,61282785,61348620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000011454,RABGAP1,9,NA,NA,NA,NA,125703112,125867145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000012171,SEMA3B,3,50304990,50314977,NA,NA,50304990,50314977,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000014641,MDH1,2,NA,NA,NA,NA,63815743,63834331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000014824,SLC30A9,4,NA,NA,NA,NA,41992489,42092474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000016864,GLT8D1,3,NA,NA,NA,NA,52728505,52740048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000019485,PRDM11,11,NA,NA,NA,NA,45115564,45247734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000019505,SYT13,11,NA,NA,NA,NA,45261852,45307870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000021300,PLEKHB1,11,NA,NA,NA,NA,73357223,73373864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000021645,NRXN3,14,NA,NA,NA,NA,78708734,80330762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000022355,GABRA1,5,NA,NA,NA,NA,161274197,161326975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000022840,RNF10,12,NA,NA,NA,NA,120971283,121015397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000023330,ALAS1,3,NA,NA,NA,NA,52232102,52248343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000025434,NR1H3,11,NA,NA,NA,NA,47269851,47290396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000026950,BTN3A1,6,26402465,26415436,NA,NA,26402465,26415444,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000028116,VRK2,2,NA,NA,NA,NA,58134786,58387055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000030066,NUP160,11,NA,NA,NA,NA,47799639,47870107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000030110,BAK1,6,NA,NA,NA,NA,33540329,33548019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000033030,ZCCHC8,12,NA,NA,NA,NA,122957417,122985518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000034053,APBA2,15,NA,NA,NA,NA,29129629,29410518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ENSG00000034693,PEX3,6,NA,NA,NA,NA,143771944,143811147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000035403,VCL,10,NA,NA,NA,NA,75757872,75879918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000037749,MFAP3,5,NA,NA,NA,NA,153418466,153600038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000040731,CDH10,5,NA,NA,NA,NA,24487209,24645087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000040933,INPP4A,2,NA,NA,NA,NA,99061317,99210853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000042781,USH2A,1,NA,NA,NA,NA,215796236,216596738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
ENSG00000044459,CNTLN,9,NA,NA,NA,NA,17134980,17503921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000044574,HSPA5,9,NA,NA,NA,NA,127997132,128003609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000047849,MAP4,3,NA,NA,NA,NA,47892182,48130769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000047932,GOPC,6,NA,NA,NA,NA,117639374,117923691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ENSG00000047936,ROS1,6,NA,NA,NA,NA,117609463,117747018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000048028,USP28,11,NA,NA,NA,NA,113668596,113746292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000048342,CC2D2A,4,NA,NA,NA,NA,15471489,15603180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000048471,SNX29,16,NA,NA,NA,NA,12070594,12668146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000048540,LMO3,12,NA,NA,NA,NA,16701307,16763528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000048828,FAM120A,9,NA,NA,NA,NA,96214004,96328397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000049449,RCN1,11,NA,NA,NA,NA,31833939,32127301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000049618,ARID1B,6,NA,NA,NA,NA,157099063,157531913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000050628,PTGER3,1,NA,NA,NA,NA,71318036,71513491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000051180,RAD51,15,NA,NA,NA,NA,40986972,41024354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000051825,MPHOSPH9,12,NA,NA,NA,NA,123636867,123728561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
ENSG00000052749,RRP12,10,NA,NA,NA,NA,99116115,99161127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000053747,LAMA3,18,NA,NA,NA,NA,21269407,21535030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000054219,LY75,2,NA,NA,NA,NA,160628362,160761260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000054277,OPN3,1,NA,NA,NA,NA,241753404,241840678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
ENSG00000054282,SDCCAG8,1,NA,NA,NA,NA,243419320,243663394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000054654,SYNE2,14,NA,NA,NA,NA,64319683,64693165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000054793,ATP9A,20,NA,NA,NA,NA,50213053,50385173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000054965,FAM168A,11,NA,NA,NA,NA,73111532,73309234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ENSG00000054967,RELT,11,NA,NA,NA,NA,73087309,73108519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000055147,FAM114A2,5,NA,NA,NA,NA,153369688,153418496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000055955,ITIH4,3,NA,NA,NA,NA,52846991,52865495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000055957,ITIH1,3,NA,NA,NA,NA,52811603,52826078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000056586,RC3H2,9,NA,NA,NA,NA,125606835,125667620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000057608,GDI2,10,NA,NA,NA,NA,5807186,5884095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000059915,PSD,10,NA,NA,NA,NA,104162376,104181296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000060303,RPS17P5,6,NA,NA,NA,NA,50824968,50825375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000060656,PTPRU,1,NA,NA,NA,NA,29563028,29653325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000060709,RIMBP2,12,NA,NA,NA,NA,130880682,131200826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000060749,QSER1,11,NA,NA,NA,NA,32914724,33014862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENSG00000061455,PRDM6,5,NA,NA,NA,NA,122424816,122529960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000061936,SFSWAP,12,NA,NA,NA,NA,132195626,132284282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000062598,ELMO2,20,NA,NA,NA,NA,44994688,45061704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000063015,SEZ6,17,NA,NA,NA,NA,27281919,27333458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000063515,GSC2,22,NA,NA,NA,NA,19136089,19137796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000064489,BORCS8-MEF2B,19,NA,NA,NA,NA,19256376,19302967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000064652,SNX24,5,NA,NA,NA,NA,122179134,122365049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000064655,EYA2,20,NA,NA,NA,NA,45523263,45817492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000065243,PKN2,1,NA,NA,NA,NA,89149905,89301938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000065413,ANKRD44,2,NA,NA,NA,NA,197831741,198175897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ENSG00000065526,SPEN,1,NA,NA,NA,NA,16174359,16266955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ENSG00000066032,CTNNA2,2,NA,NA,NA,NA,79412357,80875905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000066136,NFYC,1,NA,NA,NA,NA,41157320,41237275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENSG00000066248,NGEF,2,NA,NA,NA,NA,233743396,233877982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
